"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"346","PCMP_H79","SRR10116747","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5675936,75,237852,186.296,"Klebsiella pneumoniae","ST258"
"347","PCMP_H81","SRR10116746","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5684387,79,208944,187.482,"Klebsiella pneumoniae","ST258"
"348","PCMP_H82","SRR10116745","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5534019,72,231374,220.481,"Klebsiella pneumoniae","ST258"
"349","PCMP_H83","SRR10116744","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5955463,117,139924,95.7449,"Klebsiella pneumoniae","ST258"
"350","PCMP_H84","SRR10116743","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5318720,56,283055,123.644,"Klebsiella pneumoniae","ST258"
"351","PCMP_H8","SRR10116759","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5390549,49,323232,523.831,"Klebsiella pneumoniae","ST258"
"352","PCMP_H107","SRR10116718","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5840098,52,341492,80.5221,"Klebsiella pneumoniae","ST258"
"353","PCMP_H85","SRR10116742","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5612260,72,237759,120.503,"Klebsiella pneumoniae","ST258"
"354","PCMP_H86","SRR10116741","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5956095,104,213660,110.956,"Klebsiella pneumoniae","ST258"
"355","PCMP_H87","SRR10116740","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5413378,60,328522,163.252,"Klebsiella pneumoniae","ST258"
"356","PCMP_H88","SRR10116739","Illumina HiSeq 2500","2014-15","Blood","LTACH 12",5414803,63,233191,226.105,"Klebsiella pneumoniae","ST258"
"357","PCMP_H89","SRR10116738","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5805128,84,234250,72.6148,"Klebsiella pneumoniae","ST258"
"358","PCMP_H90","SRR10116736","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5716911,86,270194,81.2052,"Klebsiella pneumoniae","ST258"
"359","PCMP_H94","SRR10116732","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5699251,77,237852,118.979,"Klebsiella pneumoniae","ST258"
"360","PCMP_H95","SRR10116731","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5373016,53,237760,81.9697,"Klebsiella pneumoniae","ST258"
"361","PCMP_H96","SRR10116730","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5395633,53,270452,103.962,"Klebsiella pneumoniae","ST258"
"362","PCMP_H9","SRR10116748","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 2",5698038,71,262750,481.486,"Klebsiella pneumoniae","ST258"
"363","PCMP_H98","SRR10116728","Illumina HiSeq 2500","2014-15","Urine","LTACH 9",5481606,60,270452,141.327,"Klebsiella pneumoniae","ST258"
"364","PCMP_H99","SRR10116727","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",5935647,94,270193,106.287,"Klebsiella pneumoniae","ST258"
"365","PCMP_H101","SRR10116724","Illumina HiSeq 2500","2014-15","Urine","LTACH 12",5688156,88,234019,123.298,"Klebsiella pneumoniae","ST258"
"366","PCMP_H103","SRR10116722","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5618343,81,209394,119.634,"Klebsiella pneumoniae","ST258"
"367","PCMP_H104","SRR10116721","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 1",5406960,50,270412,233.746,"Klebsiella pneumoniae","ST258"
"368","PCMP_H269","SRR10116371","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5357297,59,218100,56.6801,"Klebsiella pneumoniae","ST258"
"369","PCMP_H105","SRR10116720","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5870942,88,210971,144.549,"Klebsiella pneumoniae","ST258"
"370","PCMP_H309","SRR10116673","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5862834,87,219969,85.9358,"Klebsiella pneumoniae","ST258"
"371","PCMP_H106","SRR10116719","Illumina HiSeq 2500","2014-15","Urine","LTACH 1",5541436,66,270452,84.7554,"Klebsiella pneumoniae","ST258"
"372","PCMP_H108","SRR10116717","Illumina HiSeq 2500","2014-15","Urine","LTACH 3",5866133,85,225019,189.324,"Klebsiella pneumoniae","ST258"
"373","PCMP_H110","SRR10116540","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 11",5851452,90,210968,156.295,"Klebsiella pneumoniae","ST258"
"374","PCMP_H111","SRR10116539","Illumina HiSeq 2500","2014-15","Wound","LTACH 12",5415138,58,328952,134.46,"Klebsiella pneumoniae","ST258"
"375","INT_CRE_1447","SRR37385370","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5899289,118,124812,489.406,"Klebsiella pneumoniae","ST258"
"376","INT_CRE_1030","SRR37385679","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5778945,68,179442,431.428,"Klebsiella pneumoniae","ST307"
"377","INT_CRE_854","SRR37387204","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5777157,74,199915,499.543,"Klebsiella pneumoniae","ST14"
"378","INT_CRE_408","SRR37387454","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5343882,53,207433,362.817,"Klebsiella pneumoniae","ST17"
"379","INT_CRE_966","SRR37387498","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5510941,57,198446,452.107,"Klebsiella pneumoniae","ST219"
"380","INT_CRE_806","SRR37387543","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5464488,83,152327,480.699,"Klebsiella pneumoniae","ST258"
"381","INT_CRE_41","SRR37387452","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5545719,92,149989,372.122,"Klebsiella pneumoniae","ST258"
"382","INT_CRE_912","SRR37387762","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5503261,85,142930,366.841,"Klebsiella pneumoniae","ST258"
"383","INT_CRE_761","SRR37387348","Illumina NovaSeq X","2021-23","Other","LTACH 6",5499885,82,154480,491.869,"Klebsiella pneumoniae","ST258"
"384","INT_CRE_8","SRR37387552","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5241309,64,203714,477.581,"Klebsiella pneumoniae","ST258"
"385","INT_CRE_439","SRR37387321","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5552377,77,185395,414.582,"Klebsiella pneumoniae","ST258"
"386","INT_CRE_148","SRR37385599","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5778867,105,135061,416.545,"Klebsiella pneumoniae","ST258"
"387","INT_CRE_492","SRR37387426","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5805151,106,135061,392.507,"Klebsiella pneumoniae","ST258"
"388","INT_CRE_514","SRR37387303","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5797376,103,136249,438.432,"Klebsiella pneumoniae","ST258"
"389","INT_CRE_276","SRR37385352","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5808999,103,136282,506.864,"Klebsiella pneumoniae","ST258"
"390","INT_CRE_316","SRR37385329","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5801224,115,110977,461.828,"Klebsiella pneumoniae","ST258"
"391","INT_CRE_1455","SRR37385361","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5377380,54,278795,439.999,"Klebsiella pneumoniae","ST14"
"392","INT_CRE_1118","SRR37385379","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5614941,78,179356,339.676,"Klebsiella pneumoniae","ST258"
"393","INT_CRE_1291","SRR37385689","Illumina NovaSeq X","2021-23","Blood","LTACH 6",5615958,75,197393,414.019,"Klebsiella pneumoniae","ST258"
"394","INT_CRE_10","SRR37385499","Illumina NovaSeq X","2021-23","Other","LTACH 1",5395204,74,153529,370.83,"Klebsiella pneumoniae","ST25"
"395","INT_CRE_1066","SRR37385629","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5608773,89,152151,358.314,"Klebsiella pneumoniae","ST17"
"396","INT_CRE_1083","SRR37385310","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5436235,60,201270,324.501,"Klebsiella pneumoniae","ST14"
"397","INT_CRE_1582","SRR37385269","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5490369,62,189856,75.1256,"Klebsiella pneumoniae","ST14"
"398","INT_CRE_498","SRR37387420","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5542808,84,152195,389.6,"Klebsiella pneumoniae","ST258"
"399","INT_CRE_655","SRR37387840","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5558357,96,130701,414.873,"Klebsiella pneumoniae","ST258"
"400","INT_CRE_764","SRR37387345","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5421887,53,220141,556.79,"Klebsiella pneumoniae","ST14"
"401","INT_CRE_519","SRR37387297","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5593099,86,144460,457.055,"Klebsiella pneumoniae","ST25"
"402","INT_CRE_619","SRR37387602","Illumina NovaSeq X","2021-23","Other","LTACH 10",5706999,109,116821,244.595,"Klebsiella pneumoniae","ST258"
"403","INT_CRE_1486","SRR37385594","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5681477,103,132662,756.918,"Klebsiella pneumoniae","ST258"
"404","INT_CRE_845","SRR37387213","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5495180,56,192727,416.659,"Klebsiella pneumoniae","ST14"
"405","INT_CRE_436","SRR37387324","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5652950,92,139046,353.73,"Klebsiella pneumoniae","ST258"
"406","INT_CRE_747","SRR37387813","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5571805,75,221683,452.116,"Klebsiella pneumoniae","ST987"
"407","INT_CRE_415","SRR37387446","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5407264,53,201598,383.904,"Klebsiella pneumoniae","ST14"
"408","INT_CRE_863","SRR37387704","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5534577,90,149633,375.966,"Klebsiella pneumoniae","ST258"
"409","INT_CRE_476","SRR37387463","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5511116,87,152327,409.334,"Klebsiella pneumoniae","ST258"
"410","INT_CRE_1354","SRR37385559","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5584470,203,201432,439.416,"Klebsiella pneumoniae","ST14"
"411","INT_CRE_1434","SRR37385833","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5377084,53,279127,402.512,"Klebsiella pneumoniae","ST14"
"412","INT_CRE_901","SRR37387774","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5589728,60,204248,393.817,"Klebsiella pneumoniae","ST307"
"413","INT_CRE_107","SRR37385324","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5607356,58,191127,456.596,"Klebsiella pneumoniae","ST2665"
"414","INT_CRE_622","SRR37387598","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5442291,53,217814,224.476,"Klebsiella pneumoniae","ST14"
"415","INT_CRE_387","SRR37387667","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5471680,54,257564,405.338,"Klebsiella pneumoniae","ST307"
"416","INT_CRE_1439","SRR37385829","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5584391,87,152292,476.744,"Klebsiella pneumoniae","ST258"
"417","INT_CRE_1034","SRR37385437","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5467529,57,201540,507.768,"Klebsiella pneumoniae","ST14"
"418","INT_CRE_1096","SRR37385613","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5467820,59,192727,334.528,"Klebsiella pneumoniae","ST14"
"419","INT_CRE_988","SRR37387749","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5582559,80,129409,402.624,"Klebsiella pneumoniae","ST258"
"420","INT_CRE_618","SRR37387603","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5581228,79,129409,250.561,"Klebsiella pneumoniae","ST258"
"421","INT_CRE_472","SRR37387467","Illumina NovaSeq X","2021-23","Blood","LTACH 8",5531218,48,308622,404.568,"Klebsiella pneumoniae","ST35"
"422","INT_CRE_521","SRR37387294","Illumina NovaSeq X","2021-23","Wound","LTACH 10",5542439,59,242843,420.996,"Klebsiella pneumoniae","ST348"
"423","INT_CRE_1375","SRR37385668","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5474814,85,140350,449.517,"Klebsiella pneumoniae","ST258"
"424","INT_CRE_548","SRR37387610","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5439528,51,201270,509.366,"Klebsiella pneumoniae","ST14"
"425","INT_CRE_273","SRR37385926","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5460110,57,201270,690.919,"Klebsiella pneumoniae","ST14"
"426","INT_CRE_382","SRR37387672","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5458952,54,201379,352.541,"Klebsiella pneumoniae","ST14"
"427","INT_CRE_1274","SRR37385464","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5364879,80,172489,436.186,"Klebsiella pneumoniae","ST17"
"428","INT_CRE_1341","SRR37385433","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5363650,81,181675,415.501,"Klebsiella pneumoniae","ST17"
"429","INT_CRE_584","SRR37387395","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5423651,60,185524,262.196,"Klebsiella pneumoniae","ST14"
"430","INT_CRE_334","SRR37387428","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5346467,58,192727,402.394,"Klebsiella pneumoniae","ST14"
"431","INT_CRE_342","SRR37387400","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5541405,96,119396,409.651,"Klebsiella pneumoniae","ST258"
"432","INT_CRE_325","SRR37387484","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5552906,97,133059,519.779,"Klebsiella pneumoniae","ST37"
"433","INT_CRE_837","SRR37387785","Illumina NovaSeq X","2021-23","Other","LTACH 1",5499117,58,304701,517.077,"Klebsiella pneumoniae","ST987"
"434","INT_CRE_369","SRR37387527","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5551598,87,154480,428.919,"Klebsiella pneumoniae","ST258"
"435","INT_CRE_345","SRR37387270","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5483084,86,140350,432.497,"Klebsiella pneumoniae","ST258"
"436","INT_CRE_737","SRR37387821","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5445155,55,201379,470.136,"Klebsiella pneumoniae","ST14"
"437","INT_CRE_140","SRR37385416","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5450756,61,244433,476.166,"Klebsiella pneumoniae","ST14"
"438","INT_CRE_326","SRR37387455","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5291198,44,183732,414.563,"Klebsiella pneumoniae","ST307"
"439","INT_CRE_1389","SRR37385653","Illumina NovaSeq X","2021-23","Wound","LTACH 8",5354318,48,167517,460.545,"Klebsiella pneumoniae","ST6-1LV"
"440","INT_CRE_1009","SRR37385498","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5346120,72,161154,345.772,"Klebsiella pneumoniae","ST258"
"441","INT_CRE_859","SRR37387709","Illumina NovaSeq X","2021-23","Blood","LTACH 6",5458035,73,154747,493.941,"Klebsiella pneumoniae","ST258"
"442","INT_CRE_1082","SRR37385311","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5475275,61,192727,365.039,"Klebsiella pneumoniae","ST14"
"443","INT_CRE_5","SRR37387418","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5688229,92,152204,413.969,"Klebsiella pneumoniae","ST258"
"444","INT_CRE_639","SRR37387583","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5731988,127,130701,224.909,"Klebsiella pneumoniae","ST258"
"445","INT_CRE_670","SRR37387373","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5526114,88,140350,515.776,"Klebsiella pneumoniae","ST258"
"446","INT_CRE_485","SRR37387885","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5578274,73,185395,403.266,"Klebsiella pneumoniae","ST258"
"447","INT_CRE_497","SRR37387421","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5573074,79,154274,386.434,"Klebsiella pneumoniae","ST258"
"448","INT_CRE_712","SRR37387571","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5575863,85,152205,411.998,"Klebsiella pneumoniae","ST258"
"449","INT_CRE_3","SRR37385643","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5357616,57,193391,499.098,"Klebsiella pneumoniae","ST17"
"450","INT_CRE_780","SRR37387231","Illumina NovaSeq X","2021-23","Blood","LTACH 10",5439289,52,234611,440.661,"Klebsiella pneumoniae","ST14"
"451","INT_CRE_157","SRR37385275","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5449457,56,257679,412.485,"Klebsiella pneumoniae","ST14"
"452","INT_CRE_275","SRR37385353","Illumina NovaSeq X","2021-23","Wound","LTACH 4",5613966,56,217814,516.346,"Klebsiella pneumoniae","ST14"
"453","INT_CRE_1216","SRR37385482","Illumina NovaSeq X","2021-23","Blood","LTACH 9",5328346,47,268668,415.74,"Klebsiella pneumoniae","ST105"
"454","INT_CRE_917","SRR37387731","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5459259,83,192763,444.224,"Klebsiella pneumoniae","ST17"
"455","INT_CRE_43","SRR37387332","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5537495,85,140350,452.528,"Klebsiella pneumoniae","ST258"
"456","INT_CRE_117","SRR37385734","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5456975,79,180660,558.286,"Klebsiella pneumoniae","ST17"
"457","INT_CRE_972","SRR37387491","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5235355,72,169222,407.818,"Klebsiella pneumoniae","ST258"
"458","INT_CRE_646","SRR37387851","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5579115,82,129409,453.955,"Klebsiella pneumoniae","ST258"
"459","INT_CRE_991","SRR37387745","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5518918,88,152301,412.324,"Klebsiella pneumoniae","ST258"
"460","INT_CRE_112","SRR37385257","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5772298,193,129837,494.108,"Klebsiella pneumoniae","ST258"
"461","INT_CRE_1152","SRR37385573","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5649368,86,151503,287.038,"Klebsiella pneumoniae","ST258"
"462","INT_CRE_766","SRR37387342","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5357871,70,152292,344.152,"Klebsiella pneumoniae","ST258"
"463","INT_CRE_881","SRR37387519","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5673998,109,154480,463.912,"Klebsiella pneumoniae","ST258"
"464","INT_CRE_305","SRR37385636","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5568636,79,178644,358.778,"Klebsiella pneumoniae","ST987"
"465","INT_CRE_464","SRR37387632","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5615531,90,189689,443.323,"Klebsiella pneumoniae","ST258"
"466","INT_CRE_431","SRR37387330","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5506153,56,200973,340.26,"Klebsiella pneumoniae","ST307"
"467","INT_CRE_1368","SRR37385545","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5661277,72,201270,370.851,"Klebsiella pneumoniae","ST14"
"468","INT_CRE_1460","SRR37385356","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5660206,68,217820,424.207,"Klebsiella pneumoniae","ST14"
"469","INT_CRE_363","SRR37387534","Illumina NovaSeq X","2021-23","Urine","LTACH 9",5758006,130,129803,477.466,"Klebsiella pneumoniae","ST258"
"470","INT_CRE_343","SRR37387389","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5428247,65,157449,428.067,"Klebsiella pneumoniae","ST14"
"471","INT_CRE_1015","SRR37385571","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5616937,73,174369,553.731,"Klebsiella pneumoniae","ST987"
"472","INT_CRE_911","SRR37387763","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5620473,68,310221,457.171,"Klebsiella pneumoniae","ST987"
"473","INT_CRE_1162","SRR37385740","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5509879,74,174369,304.266,"Klebsiella pneumoniae","ST987"
"474","INT_CRE_1322","SRR37385858","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5561388,74,180787,408.204,"Klebsiella pneumoniae","ST987"
"475","INT_CRE_20","SRR37385780","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5649460,90,154736,416.773,"Klebsiella pneumoniae","ST258"
"476","INT_CRE_9","SRR37387776","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5730640,97,146776,391.007,"Klebsiella pneumoniae","ST258"
"477","INT_CRE_634","SRR37387587","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5620467,66,179104,234.062,"Klebsiella pneumoniae","ST307"
"478","INT_CRE_480","SRR37387460","Illumina NovaSeq X","2021-23","Wound","LTACH 5",5650989,95,129839,444.125,"Klebsiella pneumoniae","ST258"
"479","INT_CRE_1495","SRR37385300","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5689527,106,116771,947.739,"Klebsiella pneumoniae","ST258"
"480","INT_CRE_33","SRR37387315","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5650969,91,143492,444.161,"Klebsiella pneumoniae","ST258"
"481","INT_CRE_915","SRR37387733","Illumina NovaSeq X","2021-23","Blood","LTACH 2",5450422,87,152707,564.007,"Klebsiella pneumoniae","ST258"
"482","INT_CRE_60","SRR37387280","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5553362,78,186456,437.258,"Klebsiella pneumoniae","ST258"
"483","INT_CRE_1424","SRR37385843","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5458774,78,177858,531.957,"Klebsiella pneumoniae","ST17"
"484","INT_CRE_413","SRR37387448","Illumina NovaSeq X","2021-23","Wound","LTACH 5",5613161,86,152301,397.674,"Klebsiella pneumoniae","ST258"
"485","INT_CRE_992","SRR37387744","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5403117,58,184900,431.159,"Klebsiella pneumoniae","ST14"
"486","INT_CRE_849","SRR37387209","Illumina NovaSeq X","2021-23","Other","LTACH 6",5489291,49,243119,531.804,"Klebsiella pneumoniae","ST307"
"487","INT_CRE_1264","SRR37385878","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5644300,66,218439,434.377,"Klebsiella pneumoniae","ST14"
"488","INT_CRE_1305","SRR37385674","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5646403,68,201270,369.417,"Klebsiella pneumoniae","ST14"
"489","INT_CRE_280","SRR37385347","Illumina NovaSeq X","2021-23","Blood","LTACH 7",5644535,69,152891,377.663,"Klebsiella pneumoniae","ST268"
"490","INT_CRE_145","SRR37385368","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5642653,99,151522,464.355,"Klebsiella pneumoniae","ST258"
"491","INT_CRE_356","SRR37387827","Illumina NovaSeq X","2021-23","Blood","LTACH 13",5656037,106,129837,382.64,"Klebsiella pneumoniae","ST258"
"492","INT_CRE_168","SRR37385818","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5714812,132,108673,410.023,"Klebsiella pneumoniae","ST258"
"493","INT_CRE_931","SRR37387718","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5421533,57,192727,355.852,"Klebsiella pneumoniae","ST14"
"494","INT_CRE_907","SRR37387767","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5422353,59,203694,384.399,"Klebsiella pneumoniae","ST14"
"495","INT_CRE_1359","SRR37385553","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5318048,46,245584,379.83,"Klebsiella pneumoniae","ST14"
"496","INT_CRE_572","SRR37387859","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5542015,92,129286,240.91,"Klebsiella pneumoniae","ST25"
"497","INT_CRE_946","SRR37387688","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5409353,57,214353,369.185,"Klebsiella pneumoniae","ST219"
"498","INT_CRE_116","SRR37385743","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5603001,83,208871,478.282,"Klebsiella pneumoniae","ST17"
"499","INT_CRE_517","SRR37387300","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5569772,83,149989,503.704,"Klebsiella pneumoniae","ST258"
"500","INT_CRE_226","SRR37385518","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5507649,80,152327,507.426,"Klebsiella pneumoniae","ST258"
"501","INT_CRE_667","SRR37387376","Illumina NovaSeq X","2021-23","Urine","LTACH 13",6169235,360,39991,418.573,"Klebsiella pneumoniae","ST258"
"502","INT_CRE_1480","SRR37385598","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5518833,86,152707,920.188,"Klebsiella pneumoniae","ST258"
"503","INT_CRE_407","SRR37387474","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5583671,71,251019,373.088,"Klebsiella pneumoniae","ST35"
"504","INT_CRE_553","SRR37387880","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",6209512,271,73230,319.311,"Klebsiella pneumoniae","ST25"
"505","INT_CRE_449","SRR37387651","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5707703,104,144460,444.503,"Klebsiella pneumoniae","ST25"
"506","INT_CRE_11","SRR37385398","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5449773,56,201270,378.466,"Klebsiella pneumoniae","ST14"
"507","INT_CRE_59","SRR37387390","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5447346,59,192727,386.612,"Klebsiella pneumoniae","ST14"
"508","INT_CRE_666","SRR37387377","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5605687,89,223864,521.616,"Klebsiella pneumoniae","ST17"
"509","INT_CRE_1377","SRR37385666","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5482847,57,217817,441.947,"Klebsiella pneumoniae","ST14"
"510","INT_CRE_129","SRR37385693","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5572901,85,172489,434.465,"Klebsiella pneumoniae","ST17"
"511","INT_CRE_587","SRR37387392","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5442414,60,198586,227.429,"Klebsiella pneumoniae","ST14"
"512","INT_CRE_711","SRR37387572","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5395281,55,192727,419.789,"Klebsiella pneumoniae","ST14"
"513","INT_CRE_1393","SRR37385425","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5459700,59,184900,452.598,"Klebsiella pneumoniae","ST14"
"514","INT_CRE_204","SRR37385535","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5685877,92,139046,594.262,"Klebsiella pneumoniae","ST258"
"515","INT_CRE_734","SRR37387824","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5421170,57,217822,470.696,"Klebsiella pneumoniae","ST14"
"516","INT_CRE_26","SRR37385510","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5562046,96,135021,467.942,"Klebsiella pneumoniae","ST258"
"517","INT_CRE_155","SRR37385277","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5642397,84,169165,422.889,"Klebsiella pneumoniae","ST258"
"518","INT_CRE_481","SRR37387459","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5692057,103,130064,379.032,"Klebsiella pneumoniae","ST258"
